C0 N IDLE
43 1 77.99
76 2 69.90
105 3 69.28
136 4 65.22
155 5 60.36
180 6 57.46
204 7 53.22
217 8 50.15
236 9 46.73
250 10 45.06
266 11 41.94
281 12 39.11
290 13 37.22
297 14 36.58
304 15 34.74
308 16 26.74
328 17 31.12
332 18 28.30
327 19 26.41
349 20 24.30
362 21 24.90
363 22 20.75
378 23 21.63
389 24 21.51
411 25 17.62
404 26 17.79
384 27 19.22
410 28 15.48
420 29 14.07
432 30 7.05
409 31 14.31
470 32 6.13
443 33 11.04
490 34 3.22
485 35 5.11
479 36 3.42
487 37 4.12
494 38 3.01
484 39 3.51
499 40 1.31
493 41 2.71
500 42 1.11
505 43 1.50
492 44 2.91
507 45 0.40
505 46 0.40
432 47 0.80
473 48 0.40
487 49 1.81
467 50 1.00
