Linux 4.2.8-300.fc23.x86_64 (localhost.localdomain) 	04/04/16 	_x86_64_	(1 CPU)

12:26:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:26:28     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:26:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:26:30     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:26:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:26:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:26:33     all    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:26:34     all   11.22    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   87.76
12:26:35     all    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.94
12:26:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:26:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:     all    2.21    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   97.69
