Time     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:32:17     all   37.76    0.00   62.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:18     all   40.40    0.00   59.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:19     all   16.33    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   58.16
12:32:20     all   23.23    0.00   34.34    0.00    0.00    0.00    0.00    0.00    0.00   42.42
12:32:21     all   39.39    0.00   60.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:22     all   38.78    0.00   61.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:23     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:32:24     all   37.37    0.00   62.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:25     all   40.82    0.00   59.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:26     all   25.25    0.00   38.38    0.00    0.00    0.00    0.00    0.00    0.00   36.36
12:32:27     all   15.00    0.00   22.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
12:32:28     all   39.80    0.00   60.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:29     all   40.00    0.00   60.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:30     all    9.18    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   79.59
12:32:31     all   30.30    0.00   48.48    2.02    0.00    0.00    0.00    0.00    0.00   19.19
12:32:32     all   36.36    0.00   63.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:33     all   30.61    0.00   50.00    0.00    0.00    0.00    0.00    0.00    0.00   19.39
12:32:34     all    7.14    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   80.61
12:32:35     all   37.37    0.00   62.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:36     all   40.00    0.00   60.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:37     all   13.27    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   61.22
12:32:38     all   24.24    0.00   36.36    0.00    0.00    0.00    0.00    0.00    0.00   39.39
12:32:39     all   39.00    0.00   60.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
12:32:40     all   35.00    0.00   63.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
12:32:41     all    1.01    0.00    1.01   12.12    0.00    0.00    0.00    0.00    0.00   85.86
12:32:42     all   37.37    0.00   62.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:43     all   39.80    0.00   60.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:44     all   22.45    0.00   37.76    0.00    0.00    0.00    0.00    0.00    0.00   39.80
12:32:45     all   15.15    0.00   24.24    0.00    0.00    0.00    0.00    0.00    0.00   60.61
12:32:46     all   38.78    0.00   61.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:47     all   37.76    0.00   62.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:32:48     all    8.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
12:32:49     all   34.69    0.00   46.94    0.00    0.00    0.00    0.00    0.00    0.00   18.37
12:32:50     all   38.38    0.00   61.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00
